
C:\Users\Thomas\Documents\Dev\LOLPython>c:\Python27\python.exe LOL_json_read1.py 5 CSV 4 * 
LOLPyth  version  1.70 - 16Jun2016
--- mode 5 - collection info for all champions
Name           ,Title                     ,Type(s)              ,Att,Def,Mag,Diff,range,name,desc,range,name,desc,range,name,desc,range,name,desc,
Riven          ,the Exile                , Fighter Assassin   ,8,5,1,8,275,"Broken Wings","Riven lashes out in a series of strikes. This ability can be reactivated three times in a short time frame with the third hit knocking back nearby enemies.",260,"Ki Burst","Riven emits a Ki Burst, damaging and stunning nearby enemies.",250,"Valor","Riven steps forward a short distance and blocks incoming damage.",200,"Blade of the Exile","Riven empowers her keepsake weapon with energy, and gains Attack Damage and Range. During this time, she also gains the ability to use Wind Slash, a powerful ranged attack, once. ",
Tahm Kench     ,the River King           , Support Tank       ,3,9,6,5,800,"Tongue Lash","Tahm Kench lashes out with his tongue, damaging and slowing the first unit hit. This ability gains a stun after three stacks of An Acquired Taste.",250,"Devour","Tahm Kench devours a target, dealing a percentage of their maximum health as magic damage. He can spit devoured minions and monsters out as a skillshot that deals magic damage in an area upon impact.",1,"Thick Skin","Tahm Kench turns incoming damage into gray health. As gray health decays, Tahm Kench is healed for a percentage of the gray health amount. When activated, this ability turns all gray health into a shield.",4000/5000/6000,"Abyssal Voyage","Tahm Kench puts the heft of his immense body behind his attacks and abilities, gaining extra damage based on his bonus health. When activated, Tahm Kench teleports across the map, and he may bring one ally champion with him.",
Jinx           ,the Loose Cannon         , Marksman           ,9,2,4,6,600,"Switcheroo!","Jinx modifies her basic attacks by swapping between Pow-Pow, her minigun and Fishbones, her rocket launcher. Attacks with Pow-Pow grant Attack Speed, while attacks with Fishbones deal area of effect damage, gain increased range, and drain Mana.",1450,"Zap!","Jinx uses Zapper, her shock pistol, to fire a blast that deals damage to the first enemy hit, slowing and revealing it.",900,"Flame Chompers!","Jinx throws out a line of snare grenades that explode after 5 seconds, lighting enemies on fire. Flame Chompers will bite enemy champions who walk over them, rooting them in place.",25000,"Super Mega Death Rocket!","Jinx fires a super rocket across the map that gains damage as it travels. The rocket will explode upon colliding with an enemy champion, dealing damage to it and surrounding enemies based on their missing Health. ",
Kog'Maw        ,the Mouth of the Abyss   , Marksman Mage      ,8,2,5,6,1175,"Caustic Spittle","Kog'Maw launches a corrosive projectile which deals magic damage and corrodes the target's armor and magic resist for a short time.",530,"Bio-Arcane Barrage","Kog'Maw's attacks gain range and speed, and they deal a percent of the target's maximum health as magic damage.",1200,"Void Ooze","Kog'Maw launches a peculiar ooze which damages all enemies it passes through and leaves a trail which slows enemies who stand on it.",1200/1500/1800,"Living Artillery","Kog'Maw fires an artillery shell at a great distance dealing magic damage (increased significantly on low health enemies) and revealing non-stealthed targets. Additionally, multiple Living Artilleries in a short period of time cause them to cost additional Mana.",
Master Yi      ,the Wuju Bladesman       , Assassin Fighter   ,10,4,2,4,600,"Alpha Strike","Master Yi teleports across the battlefield with blinding speed, dealing physical damage to multiple units in his path, while simultaneously becoming untargetable. Alpha Strike can critically strike and deals bonus physical damage to minions and monsters. Basic attacks reduce Alpha Strike's cooldown.",20,"Meditate","Master Yi rejuvenates his body by focus of mind, restoring Health and taking reduced damage for a short time.",20,"Wuju Style","Master Yi becomes skilled in the art of Wuju, passively increasing his Attack Damage. Activating Wuju Style grants bonus true damage on basic attacks, but the passive bonus is then lost while on cooldown.",1,"Highlander","Master Yi moves with unparalleled agility, temporarily increasing his Movement and Attack Speeds as well as making him immune to all slowing effects. While active, Champion kills or assists extend Highlander's duration. Passively reduces cooldown for his other abilities on a kill or assist.",
Kayle          ,The Judicator            , Fighter Support    ,6,6,7,7,650,"Reckoning","Blasts an enemy unit with angelic force, dealing damage, slowing Movement Speed, and applying Holy Fervor.",900,"Divine Blessing","Blesses a target friendly champion, granting them increased Movement Speed and healing them.",20,"Righteous Fury","Passive: Grants Kayle on Hit magic Damage.  Activate: Ignite Kayle's sword with a holy flame, granting Kayle a ranged attack that damages multiple enemies and deals bonus magic damage.",900,"Intervention","Shields Kayle or an ally for a short time, causing them to be immune to damage.",
Ryze           ,the Rogue Mage           , Mage Fighter       ,2,2,10,7,900,"Overload","Ryze throws a charge of pure energy in a line, dealing damage to the first enemy struck. Additionally, Arcane Mastery's supercharged duration is passively increased.",600,"Rune Prison","Ryze traps a target enemy unit in a cage of runes, damaging them and preventing them from moving.",600,"Spell Flux","Ryze releases an orb of pure magical power that bounces from the initial target to nearby enemies and Ryze before bouncing back to the initial target. Enemies hit are damaged and have their Magic Resist reduced.",200,"Desperate Power","Ryze channels immense arcane power to gain Movement Speed, Spell Vamp, and area of effect damage on his spells. He also passively gains Cooldown Reduction and increases the duration of Arcane Mastery's supercharged effect.",
Alistar        ,the Minotaur             , Tank Support       ,6,9,5,7,365,"Pulverize","Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air for 1.5 seconds. On landing, enemies are stunned.",650,"Headbutt","Alistar rams a target with his head, dealing damage and knocking the target back.",575,"Triumphant Roar","Alistar lets out a commanding war cry, restoring Health to himself and nearby friendly units for 33% of the amount. Can be cast more often if nearby enemies are dying.",1,"Unbreakable Will","Alistar lets out a wild roar, gaining bonus damage, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.",
Sivir          ,the Battle Mistress      , Marksman           ,9,3,1,4,1200,"Boomerang Blade","Sivir hurls her crossblade like a boomerang, dealing damage each way.",20,"Ricochet","Sivir's next few basic attacks will bounce to nearby targets, dealing reduced damage to secondary targets.",20,"Spell Shield","Creates a magical barrier that blocks a single enemy ability cast on Sivir. She receives Mana back if a spell is blocked.",1000,"On The Hunt","Sivir leads her allies in battle, granting them a surge Movement Speed for a period of time. Additionally passively grants Sivir bonus Attack Speed while Ricochet is active.",
Sion           ,The Undead Juggernaut    , Tank Fighter       ,5,9,3,5,10000,"Decimating Smash","Sion charges a powerful swing in an area in front of himself that will deal damage to enemies when released. If he charges for enough time, enemies hit by the swing will also be knocked up and stunned.</span>",500,"Soul Furnace","Sion shields himself and can reactivate after 3 seconds to deal Magic Damage to enemies nearby. When Sion kills enemies, he passively gains maximum Health.",800,"Roar of the Slayer","Sion fires a short range shockwave that damages and slows and reduces the Armor of the first enemy hit. If the shockwave hits a minion or monster, it will be knocked back, damaging and slowing all enemies that it passes through.",7500,"Unstoppable Onslaught","Sion charges in a direction, ramping up speed over time. He can steer his charge slightly with the mouse cursor location. When he collides with an enemy he deals damage and knocks them up based on the distance he has charged.",
Teemo          ,the Swift Scout          , Marksman Assassin  ,5,3,7,6,680,"Blinding Dart","Obscures an enemy's vision with a powerful venom, dealing damage to the target unit and blinding it for the duration.",20,"Move Quick","Teemo scampers around, passively increasing his Movement Speed until he is struck by an enemy champion or turret. Teemo can sprint to gain bonus Movement Speed that isn't stopped by being struck for a short time.",680,"Toxic Shot","Each of Teemo's attacks will poison the target, dealing damage on impact and each second after for 4 seconds.",400/650/900,"Noxious Trap","Teemo throws an explosive poisonous trap using one of the mushrooms stored in his pack. If an enemy steps on the trap, it will release a poisonous cloud, slowing enemies and damaging them over time. If Teemo throws a mushroom onto another mushroom it will bounce, gaining additional range.",
Soraka         ,the Starchild            , Support Mage       ,2,5,7,3,810,"Starcall","A star falls from the sky at the target location dealing magic damage and slowing enemies. If an enemy champion is hit by Starcall, Soraka recovers health and gains movement speed when moving away from enemy champions.",550,"Astral Infusion","Soraka sacrifices a portion of her own health to heal another friendly champion.",925,"Equinox","Creates a zone at a location that silences all enemies inside. When the zone expires, all enemies still inside are rooted.",25000,"Wish","Soraka fills her allies with hope, instantly restoring health to herself and all friendly champions.",
Warwick        ,the Blood Hunter         , Fighter Tank       ,7,4,4,3,400,"Hungering Strike","Takes a bite out of an enemy unit and heals Warwick.",1250,"Hunters Call","Warwick lets out a howl, increasing all nearby friendly champions' Attack Speed for a short time.",1600,"Blood Scent","Warwick passively senses weakened enemy champions around him. The scent of blood sends him into a fury, causing him to move at incredible speeds.",700,"Infinite Duress","Warwick lunges at an enemy champion, suppressing his target and dealing magic damage for a few seconds.",
Tristana       ,the Yordle Gunner        , Marksman Assassin  ,9,3,5,4,20,"Rapid Fire","Tristana fires her weapon rapidly, increasing her Attack Speed for a short time.",900,"Rocket Jump","Tristana fires at the ground to propel her to a distant location, dealing damage and slowing surrounding units for a brief period where she lands.",550,"Explosive Charge","When Tristana kills a unit, her cannonballs burst into shrapnel, dealing damage to surrounding enemies. Can be activated to place a bomb on a target enemy that explodes after a short duration dealing damage to surrounding units.",550,"Buster Shot","Tristana loads a massive cannonball into her weapon and fires it at an enemy unit. This deals Magic Damage and knocks the target back. If the target is carrying the Explosive Charge bomb, the bomb detonation radius is doubled.",
Gnar           ,the Missing Link         , Fighter Tank       ,6,5,5,8,1100,"Boomerang Throw / Boulder Toss","Gnar throws a boomerang that damages and slows enemies it hits before returning to him. If he catches the boomerang its cooldown is reduced.<br><br>Mega Gnar instead throws a boulder that stops on the first unit hit, damaging and slowing everything nearby. It can then be picked up to reduce the cooldown.",0,"Hyper / Wallop","Gnar's attacks and spells hype him up, dealing bonus damage and granting him Movement Speed.<br><br>Mega Gnar is too enraged to be hyper and instead can rear up on his hind legs and smash down on the area in front of him, stunning enemies in an area.",475,"Hop / Crunch","Gnar leaps to a location and bounces off the head of any unit he lands on, traveling further.<br><br>Mega Gnar is too large to bounce and instead lands with earth-shattering force, dealing damage in an area around him.",590,"GNAR!","Mega Gnar throws everything around him in a chosen direction, dealing damage and slowing them.  Any enemy that hits a wall is stunned and takes bonus damage.",
Zac            ,the Secret Weapon        , Tank Fighter       ,3,7,7,8,550,"Stretching Strike","Zac extends his arms, slowing and dealing damage to nearby enemies.",350,"Unstable Matter","Zac's body erupts, damaging nearby enemies.",300,"Elastic Slingshot","Zac attaches his arms to the ground and stretches back, launching himself forward.",300,"Let's Bounce!","Zac launches into the air, gaining Movement Speed, and slams down three times, each time damaging, slowing and knocking up nearby enemies.",
Yasuo          ,the Unforgiven           , Fighter Assassin   ,8,4,4,10,475,"Steel Tempest","A skillshot basic attack. After two successful Steel Tempests, the next fires a tornado that knocks enemies Airborne.",400,"Wind Wall","Creates a moving wall that blocks enemy projectiles.",475,"Sweeping Blade","Dashes through a unit, dealing escalating Magic Damage with each cast.",1200,"Last Breath","Moves to a unit and strikes them repeatedly for heavy damage. Can only be cast on Airborne targets.",
Zed            ,the Master of Shadows    , Assassin Fighter   ,9,2,1,7,900,"Razor Shuriken","Zed and his shadow both throw their spinning blades forward, dealing damage to any targets they pass through.",650,"Living Shadow","Zed's shadow dashes forward, remaining in place for 4 seconds, and mimicking his spell casts. Zed can reactivate to swap places with the shadow. Zed's Attack Damage is passively increased.",290,"Shadow Slash","Zed and his shadow spin their blades, creating a burst of shadow energy.  The shadow's spin slows.",625,"Death Mark","Zed leaves a shadow behind and dashes to target Champion, marking them for death. After 3 seconds, the mark will trigger, dealing a percentage of the damage Zed has dealt while the mark was active. ",
Lucian         ,the Purifier             , Marksman           ,8,5,3,6,500,"Piercing Light","Lucian shoots a bolt of piercing light through a target.",900,"Ardent Blaze","Lucian shoots a missile that explodes in a star shape, marking enemies. Lucian gains Movement Speed for attacking marked enemies.",445,"Relentless Pursuit","Lucian quickly dashes a short distance. Lightslinger attacks reduce Relentless Pursuit's cooldown.",1400,"The Culling","Lucian unleashes a torrent of shots from his weapons.",
Trundle        ,the Troll King           , Fighter Tank       ,7,6,2,5,300,"Chomp","Trundle bites his opponent, dealing damage, briefly slowing and sapping some of their Attack Damage.",750,"Frozen Domain","Trundle turns target location into his domain, gaining Attack Speed, Movement Speed, and increased healing from all sources while on it.",1000,"Pillar of Ice","Trundle creates an ice pillar at target location, becoming impassable terrain and slowing all nearby enemy units.",650,"Subjugate","Trundle immediately steals a percent of his target's Health, Armor and Magic Resistance. Over the next 4 seconds the amount of Health, Armor, and Magic Resistance stolen is doubled.",
Garen          ,The Might of Demacia     , Fighter Tank       ,7,7,1,5,300,"Decisive Strike","Garen gains a burst of movement speed, breaking free of all slows affecting him. His next attack strikes a vital area of his foe, dealing bonus damage and silencing them.",20,"Courage","Garen passively increases his armor and magic resist by killing enemies. He may also activate this ability to grant himself a shield that reduces incoming damage for a short time.",325,"Judgment","Garen performs a dance of death with his sword, dealing damage around him for the duration.",400,"Demacian Justice","The enemy champion with the most recent kills is the Villain. Garen's attacks deal additional true damage to that champion.<br><br>Garen can call upon the might of Demacia to deal a finishing blow to an enemy champion that deals damage based upon how much health his target has missing. This damage is true damage against the Villain.",
Taric          ,the Shield of Valoran    , Support Fighter    ,4,8,5,3,325,"Starlight's Touch","Heals nearby allied champions based on charges stored.<br><br>Bravado-empowered attacks reduce this recharge time more than usual.",800,"Bastion","Passively increase the Armor of Taric and any allied champion with Bastion.<br><br>Actively shields an ally and grants them Bastion for as long as they remain near Taric. Taric's spells also cast off the ally with Bastion.",610,"Dazzle","Taric readies a beam of starlight that, after a brief delay, deals magic damage and stuns enemies.",400,"Cosmic Radiance","Pulses cosmic energy onto nearby allied champions after a delay, making them invulnerable for a short duration.",
Veigar         ,the Tiny Master of Evil  , Mage               ,2,2,10,7,900,"Baleful Strike","Veigar unleashes a bolt of dark energy that deals magic damage to the first two enemies hit. Units killed by this bolt grant Veigar some ability power permanently.",900,"Dark Matter","Veigar calls a great mass of dark matter to fall from the sky to the target location, dealing magic damage when it lands.",725,"Event Horizon","After a brief delay Veigar twists the edges of space around the target location for 3 seconds, stunning enemies who pass through the perimeter.",650,"Primordial Burst","Blasts target enemy champion, dealing a large amount of magic damage, increasing based on the target's missing health.",
Corki          ,the Daring Bombardier    , Marksman           ,8,3,6,6,825,"Phosphorus Bomb","Corki fires a flash bomb at a target location, dealing magic damage to enemies in the area. This attack additionally reveals units in the area for a duration.",600,"Valkyrie","Corki flies a short distance, dropping bombs that create a trail of fire that damages opponents who remain in it.",600,"Gatling Gun","Corki's gatling gun rapidly fires in a cone in front of him, dealing damage and reducing enemy Armor and Magic Resist.",1225,"Missile Barrage","Corki fires a missile toward his target location that explodes on impact, dealing damage to enemies in an area. Corki stores missiles over time, up to a maximum. Every 3rd missile fired will be a Big One, dealing extra damage.",
Karma          ,the Enlightened One      , Mage Support       ,1,7,8,5,950,"Inner Flame","Karma sends forth a ball of spirit energy that explodes and deals damage upon hitting an enemy unit.<br><br>Mantra Bonus: In addition to the explosion, Mantra increases the destructive power of her Inner Flame, creating a cataclysm which deals damage after a short delay.",675,"Focused Resolve","Karma creates a tether between herself and a targeted enemy, dealing damage over time and revealing them. If the tether is not broken, the enemy will be rooted.<br><br>Mantra Bonus: Karma strengthens the link, healing herself and extending the root duration.",800,"Inspire","Karma summons a protective shield that absorbs incoming damage and increases the Movement Speed of the protected ally.<br><br>Mantra Bonus: Energy radiates out from her target, strengthening the initial shield and applying Inspire to nearby allied champions.",1100,"Mantra","Karma empowers her next ability to do an additional effect. Mantra is available at level 1 and does not require a skill point.",
Janna          ,the Storm's Fury         , Support Mage       ,3,5,7,7,1700,"Howling Gale","By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path.",600,"Zephyr","Janna summons an air elemental that passively increases her Movement Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Movement Speed. The passive is lost while this ability is on cooldown.",800,"Eye Of The Storm","Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.",725,"Monsoon","Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active.",
Gangplank      ,the Saltwater Scourge    , Fighter            ,7,6,4,9,625,"Parrrley","Shoots target, plundering Gold for each enemy unit killed.",400,"Remove Scurvy","Eats citrus to cure crowd control effects and restore Health.",1000,"Powder Keg","Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.",30000,"Cannon Barrage","Gangplank signals his ship to bombard an area, slowing and damaging enemies.",
Annie          ,the Dark Child           , Mage               ,2,3,10,6,625,"Disintegrate","Annie hurls a Mana infused fireball, dealing damage and refunding the Mana cost if it destroys the target.",600,"Incinerate","Annie casts a blazing cone of fire, dealing damage to all enemies in the area.",0,"Molten Shield","Grants Annie and Tibbers increased percentage Damage Resist and damages enemies who attack with basic attacks.",600,"Summon: Tibbers","Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.",
Xin Zhao       ,the Seneschal of Demacia , Fighter Assassin   ,8,6,3,2,375,"Three Talon Strike","Xin Zhao's next 3 standard attacks deal increased damage that reduce his other ability cooldowns, with the third attack knocking an opponent into the air.",20,"Battle Cry","Xin Zhao passively will critically strike every third attack, healing on every third hit. This ability can be activated to attack faster.",650,"Audacious Charge","Xin Zhao charges an enemy, dealing damage and slowing all enemies in the area.",500,"Crescent Sweep","Xin Zhao deals damage to nearby enemies based on their current Health and knocks non-challenged targets back. Xin Zhao gains bonus Armor and Magic Resist based on number of champions hit.",
Fiddlesticks   ,the Harbinger of Doom    , Mage Support       ,2,3,9,9,525,"Terrify","Strikes a target unit with fear, causing it to flee in terror for a duration.",575,"Drain","Fiddlesticks saps the life force of an enemy, dealing damage to a target over time and healing himself.",750,"Dark Wind","A wisp of wind strikes an enemy unit and then bounces to nearby enemy units, dealing damage and silencing the victims.",800,"Crowstorm","A murder of crows flock wildly around Fiddlesticks, dealing damage per second to all enemy units in the area.",
Braum          ,the Heart of the Freljord, Support Tank       ,3,9,4,3,1000,"Winter's Bite","Braum propels freezing ice from his shield, slowing and dealing magic damage.<br><br>Applies a stack of <span class="colorFFF673">Concussive Blows</span>.",650,"Stand Behind Me","Braum leaps to a target allied champion or minion. On arrival, Braum and the ally gain Armor and Magic Resist for a few seconds.",25000,"Unbreakable","Braum raises his shield in a direction for several seconds, intercepting all projectiles causing them to hit him and be destroyed. He negates the damage of the first attack completely and reduces the damage of all subsequent attacks from this direction.",1250,"Glacial Fissure","Braum slams the ground, knocking up enemies nearby and in a line in front of him. A fissure is left along the line that slows enemies.",
Zyra           ,Rise of the Thorns       , Mage Support       ,4,3,8,7,800,"Deadly Spines","Thick vines spread through the ground and explode into spines, dealing magic damage to enemies within the area. If cast near a seed, Deadly Spines grows a Thorn Spitter plant, which fires at enemies from afar.",850,"Rampant Growth","Zyra plants a seed, lasting up to 45 seconds. Deadly Spines and Grasping Roots cast near seeds will turn them into plants, who fight for Zyra. Additionally, Rampant Growth passively grants her plants improved maximum Health",1100,"Grasping Roots","Zyra sends forth vines through the ground to ensnare her target, dealing damage and rooting enemies they come across. If cast near a seed, Grasping Roots grows a Vine Lasher, whose short range attacks reduce enemy Movement Speed.",700,"Stranglethorns","Zyra summons a twisted thicket at her target location, dealing damage to enemies as it expands and knocking them airborne as it contracts.",
Udyr           ,the Spirit Walker        , Fighter Tank       ,8,7,4,7,600,"Tiger Stance","Tiger Stance: Activation - Udyr's Attack Speed is increased for a few seconds, and his first basic attack will deal a high amount of damage over 2 seconds. Persistent Effect - Udyr's basic attacks deal extra damage.",600,"Turtle Stance","Turtle Stance: Activation - Udyr gains a temporary shield that absorbs damage. Persistent Effect - Udyr gains Life Steal.",600,"Bear Stance","Bear Stance: Activation - Udyr increases Movement Speed for a short duration. Persistent Effect - Udyr's basic attacks stun his target for 1 second. This effect cannot occur on the same target for several seconds.",325,"Phoenix Stance","Phoenix Stance: Activation - Udyr unleashes pulsing waves of fire, dealing damage to nearby enemies for 5 seconds. Persistent Effect - With the first basic attack and every third attack after, Udyr engulfs enemies in front of him with flames.",
Nidalee        ,the Bestial Huntress     , Assassin Fighter   ,5,4,7,8,1500,"Javelin Toss / Takedown","In human form, Nidalee throws a spiked javelin at her target that gains damage as it flies.  As a cougar, her next attack will attempt to fatally wound her target, dealing more damage the less life they have.",900,"Bushwhack / Pounce","In human form, Nidalee lays a trap for unwary opponents that, when sprung, damages and reveals its target. As a cougar, she jumps in a direction, dealing damage in an area where she lands.",600,"Primal Surge / Swipe","In human form, Nidalee channels the spirit of the cougar to heal her allies and imbue them with Attack Speed for a short duration. As a cougar, she claws in a direction, dealing damage to enemies in front of her.",20,"Aspect Of The Cougar","Nidalee transforms into a cougar, gaining new abilities.",
Nasus          ,the Curator of the Sands , Fighter Tank       ,7,5,6,6,300,"Siphoning Strike","Nasus strikes his foe, dealing damage and increasing the power of his future Siphoning Strikes if he slays his target.",600,"Wither","Nasus ages an enemy champion, decelerating their Movement and Attack Speeds over time.",650,"Spirit Fire","Nasus unleashes a spirit flame at a location, dealing damage and reducing the Armor of enemies who stand on it.",20,"Fury of the Sands","Nasus unleashes a mighty sandstorm that batters nearby enemies. While the storm rages, he gains increased Health, Attack Range, and drains nearby enemies' max Health converting into bonus damage for the duration.",
Heimerdinger   ,the Revered Inventor     , Mage Support       ,2,6,8,8,350,"H-28G Evolution Turret","Heimerdinger lays down a rapid-fire cannon turret equipped with a secondary pass-through beam attack (turrets deal half damage to towers).",1325,"Hextech Micro-Rockets","Heimerdinger fires long-range rockets that converge on his cursor. ",970,"CH-2 Electron Storm Grenade","Heimerdinger lobs a grenade at a location, dealing damage to enemy units, as well as stunning anyone directly hit and slowing surrounding units.",1,"UPGRADE!!!","Heimerdinger invents an upgrade, causing his next spell to have increased effects. ",
Skarner        ,the Crystal Vanguard     , Fighter Tank       ,7,6,5,5,350,"Crystal Slash","Skarner lashes out with his claws, dealing physical damage to all nearby enemies and charging himself with Crystal Energy for several seconds if a unit is struck. If he casts Crystal Slash again while powered by Crystal Energy, he deals bonus magic damage.",1,"Crystalline Exoskeleton","Skarner gains a shield and has increased Movement Speed while the shield persists.",980,"Fracture","Skarner summons a blast of crystalline energy which deals damage to enemies struck and slows them. Basic attacking these enemies within a short window will stun them.",350,"Impale","Skarner suppresses an enemy champion and deals damage to it. During this time, Skarner can move freely and will drag his helpless victim around with him. When the effect ends, the target will be dealt additional damage.",
Gragas         ,the Rabble Rouser        , Fighter Mage       ,4,7,6,5,850,"Barrel Roll","Gragas rolls his cask to a location, which can be activated to explode or will explode on its own after 4 seconds. Enemies struck by the blast have their Movement Speed slowed.",20,"Drunken Rage","Gragas guzzles down brew from his cask for 1 second. After finishing, he becomes drunkenly empowered, dealing magic damage to all nearby enemies on his next basic attack and reducing damage received.",600,"Body Slam","Gragas charges to a location and collides with the first enemy unit he comes across, dealing damage to all nearby enemy units and stunning them.",1000,"Explosive Cask","Gragas hurls his cask to a location, dealing damage and knocking back enemies caught in the blast radius.",
Poppy          ,Keeper of the Hammer     , Tank Fighter       ,6,7,2,6,430,"Hammer Shock","Poppy swings her hammer, dealing damage and creating a zone that will slow enemies and explode after a delay.",400,"Steadfast Presence","Poppy stops enemy dashes around her and gains movement speed.",425,"Heroic Charge","Poppy dashes to the target and pushes it back. If the target is pushed into a wall, it is stunned.",500,"Keeper's Verdict","Poppy channels a hammer strike that knocks enemies very far away.",
